,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
sigma[58],0.711033,0.00095689,0.00741997,0.00683479,0.700022,0.712179,0.721641,77.0314,100.0,1.02734
sigma[59],0.782118,0.00782419,0.0314541,0.00516019,0.766396,0.77666,0.794001,66.3824,100.0,1.10535
sigma[60],0.671104,0.00164137,0.010962,0.00623507,0.65173,0.67305,0.681695,56.841,100.0,1.04898
sigma[61],0.700127,0.00142185,0.0090615,0.00630402,0.687871,0.700811,0.71055,68.3707,100.0,1.07611
sigma[62],0.6946,0.00167811,0.00845139,0.00436552,0.68696,0.694862,0.702287,46.4522,100.0,1.05841
sigma[63],0.589593,0.00222665,0.0115397,0.00515129,0.559979,0.592216,0.599995,59.5851,100.0,1.04624
sigma[64],0.584462,0.00152844,0.00874082,0.00426618,0.574157,0.585987,0.592511,61.3552,100.0,1.06273
sigma[65],0.568269,0.00054386,0.00426558,0.00429435,0.560552,0.568553,0.574693,65.7736,100.0,1.0544
sigma[66],0.646104,0.0010197,0.00678515,0.00482216,0.638341,0.644961,0.654791,61.9864,100.0,1.04363
sigma[67],0.721744,0.0094767,0.03426,0.00662796,0.703594,0.714102,0.770107,38.6677,100.0,1.09544
sigma[68],0.63457,0.00137416,0.00750074,0.00545523,0.625752,0.634146,0.646268,57.6914,100.0,1.09327
sigma[69],0.69554,0.0022146,0.0100241,0.00573247,0.687612,0.695998,0.706401,41.2633,100.0,1.0685
sigma[70],0.663159,0.00296381,0.0159175,0.00510385,0.652699,0.662678,0.673183,51.1434,100.0,1.04304
sigma[71],0.639028,0.00149318,0.00764412,0.00590816,0.628661,0.639095,0.649938,28.4866,100.0,1.10066
sigma[72],0.62076,0.00103503,0.00607065,0.00438257,0.611836,0.620136,0.628052,42.6782,100.0,1.06236
sigma[73],0.63847,0.00145805,0.00719357,0.00496968,0.629265,0.637746,0.647842,43.5383,100.0,1.06089
sigma[74],0.638554,0.000564153,0.00511552,0.00488813,0.629553,0.639066,0.646772,91.1269,100.0,1.04374
sigma[75],0.629051,0.00140905,0.00764678,0.00521208,0.619296,0.629814,0.63751,46.7326,100.0,1.05609
sigma[76],0.675494,0.00230521,0.0110618,0.00513721,0.665466,0.675808,0.686062,35.832,100.0,1.07215
sigma[77],0.641824,0.000494699,0.00522523,0.00496152,0.633414,0.642334,0.650099,124.245,100.0,1.01783
sigma[78],0.617325,0.00364791,0.0142277,0.00498747,0.60543,0.619177,0.629054,45.9507,100.0,1.05507
sigma[79],0.692295,0.00198498,0.013518,0.00553529,0.681402,0.692606,0.702385,91.4114,100.0,1.0417
sigma[80],0.640287,0.0025256,0.0138547,0.00431066,0.630478,0.639045,0.647443,76.9564,100.0,1.03113
sigma[81],0.646134,0.00302283,0.0125611,0.0059089,0.619625,0.648308,0.65678,30.4791,100.0,1.08679
sigma[82],0.638466,0.00067441,0.00532135,0.0057473,0.629087,0.638964,0.647398,63.7837,100.0,1.09994
sigma[83],0.630144,0.00167242,0.00775556,0.00485403,0.620737,0.631194,0.640224,49.1782,100.0,1.11227
sigma[84],0.682882,0.00233959,0.0122381,0.00628548,0.657109,0.684059,0.693969,51.3369,100.0,1.04975
sigma[85],0.659594,0.00141396,0.00870788,0.00547228,0.65172,0.660378,0.669518,97.945,100.0,1.02578
sigma[86],0.641716,0.00433008,0.0228869,0.00500229,0.627871,0.638804,0.65214,67.9025,100.0,1.13578
sigma[87],0.699106,0.000392166,0.00506399,0.00441296,0.690718,0.699639,0.707018,160.823,100.0,1.02401
sigma[88],0.641504,0.000366117,0.00440637,0.00409568,0.633876,0.641158,0.6491,161.652,100.0,1.06204
sigma[89],0.685568,0.00207281,0.00972547,0.00450859,0.677572,0.687117,0.694151,106.299,100.0,1.08062
sigma[90],0.650335,0.00113376,0.00682798,0.00444113,0.6414,0.649215,0.663997,58.1431,100.0,1.07177
sigma[91],0.634766,0.00227953,0.00924706,0.00512535,0.626357,0.63626,0.642907,61.3287,100.0,1.09849
sigma[92],0.665085,0.00133646,0.00732509,0.00400376,0.654146,0.665857,0.673207,72.8719,100.0,1.09595
sigma[93],0.744978,0.00146863,0.00756888,0.00448783,0.735386,0.743835,0.763991,30.1296,100.0,1.09327
sigma[94],0.675847,0.00316014,0.0119189,0.00643226,0.663418,0.677024,0.690014,33.4926,100.0,1.07755
sigma[95],0.641664,0.00267986,0.011463,0.00585553,0.615963,0.643879,0.651486,45.8228,100.0,1.08334
sigma[96],0.643953,0.000837299,0.00652306,0.00438182,0.635928,0.643433,0.652912,66.4219,100.0,1.03628
sigma[97],0.640271,0.00115503,0.00783434,0.00489999,0.628969,0.641476,0.649059,69.5157,100.0,1.03276
sigma[98],0.640606,0.012239,0.0492572,0.00495485,0.623293,0.63114,0.644759,79.6139,100.0,1.09775
sigma[99],0.638335,0.00400764,0.0161007,0.0054063,0.626414,0.634883,0.657752,38.8281,100.0,1.07154
sigma[100],0.622236,0.00259537,0.0117899,0.00459606,0.612722,0.622702,0.629935,55.1823,100.0,1.05721
gamma[1],0.266574,0.0008947,0.00306139,0.00193035,0.262142,0.266593,0.271655,21.981,100.0,1.127
gamma[2],-5.56889e-05,0.000121054,0.00105604,0.00103943,-0.00175217,-8.4535e-05,0.00150666,106.734,100.0,1.02687
gamma[3],-0.0452225,0.000170599,0.00115229,0.0012207,-0.046891,-0.0452555,-0.0434028,35.0285,100.0,1.07941
delta[1],-0.730196,0.00682624,0.019834,0.00500007,-0.770866,-0.730346,-0.703754,16.8304,100.0,1.17628
delta[2],0.00342557,8.31757e-05,0.00124276,0.00129063,0.00141981,0.00345985,0.00552062,240.485,100.0,0.993555
delta[3],0.0189254,0.000116517,0.00103906,0.000986744,0.017132,0.0189924,0.0206813,121.342,100.0,1.0193
